tag,minTRx
CWECN10TEST93,801
CWECN10TEST930,722
CWECN10TEST931,1006
CWECN10TEST932,612
CWECN10TEST933,510
CWECN10TEST934,974
CWECN10TEST935,939
CWECN10TEST936,524
CWECN10TEST937,965
CWECN10TEST938,896
CWECN10TEST939,966
CWECN10TEST94,928
CWECN10TEST940,430
CWECN10TEST941,426
CWECN10TEST942,885
CWECN10TEST943,1113
CWECN10TEST944,951
CWECN10TEST945,1094
CWECN10TEST946,684
CWECN10TEST947,1212
CWECN10TEST948,1208
CWECN10TEST949,987
CWECN10TEST95,948
CWECN10TEST950,849
CWECN10TEST951,1042
CWECN10TEST952,1039
CWECN10TEST953,999
CWECN10TEST954,942
CWECN10TEST955,610
CWECN10TEST956,646
CWECN10TEST957,812
CWECN10TEST958,955
CWECN10TEST959,920
CWECN10TEST96,996
CWECN10TEST960,823
CWECN10TEST961,713
CWECN10TEST962,517
CWECN10TEST963,938
CWECN10TEST964,1014
CWECN10TEST965,905
CWECN10TEST966,882
CWECN10TEST967,879
CWECN10TEST968,798
CWECN10TEST969,560
CWECN10TEST97,857
CWECN10TEST970,878
CWECN10TEST971,758
CWECN10TEST972,526
CWECN10TEST973,953
CWECN10TEST974,531
CWECN10TEST975,836
CWECN10TEST976,645
CWECN10TEST977,944
CWECN10TEST978,557
CWECN10TEST979,1282
CWECN10TEST98,795
CWECN10TEST980,798
CWECN10TEST981,463
CWECN10TEST982,688
CWECN10TEST983,813
CWECN10TEST984,1059
CWECN10TEST985,873
CWECN10TEST986,868
CWECN10TEST987,1058
CWECN10TEST988,1061
CWECN10TEST989,959
CWECN10TEST99,863
CWECN10TEST990,1030
CWECN10TEST991,998
CWECN10TEST992,975
CWECN10TEST993,891
CWECN10TEST994,944
CWECN10TEST995,943
CWECN10TEST996,517
CWECN10TEST997,866
CWECN10TEST998,533
CWECN10TEST999,524
